# 2.5R

1 2 [45,21,31] 4 6 [144,76,88] 6 12 [237,104,124]
1 4 [54,14,33] 4 8 [156,68,84] 6 14 [249,94,120]
1 6 [62,3,34] 4 10 [167,57,81] 6 16 [255,79,116]
1 8 [70,0,36] 4 12 [178,44,78] 6 18 [255,62,112]
1 10 [78,0,38] 4 14 [189,18,75] 7 2 [193,167,177]
2 2 [66,43,50] 4 16 [199,0,72] 7 4 [209,162,171]
2 4 [77,36,49] 4 18 [210,0,70] 7 6 [225,155,165]
2 6 [87,28,49] 5 2 [141,116,123] 7 8 [240,148,160]
2 8 [98,14,49] 5 4 [156,109,118] 7 10 [254,140,154]
2 10 [107,0,49] 5 6 [171,102,113] 7 12 [255,130,148]
2 12 [117,0,50] 5 8 [184,95,108] 7 14 [255,120,144]
2 14 [127,0,51] 5 10 [197,86,104] 7 16 [255,107,139]
3 2 [92,65,71] 5 12 [209,74,100] 8 2 [218,194,205]
3 4 [106,58,67] 5 14 [219,62,97] 8 4 [237,188,198]
3 6 [117,50,64] 5 16 [231,42,93] 8 6 [254,181,192]
3 8 [129,39,61] 5 18 [242,0,90] 8 8 [255,173,185]
3 10 [140,21,58] 5 20 [253,0,88] 8 10 [255,165,179]
3 12 [151,0,56] 6 2 [167,141,150] 9 2 [245,221,233]
3 14 [160,0,54] 6 4 [183,135,145] 9 4 [255,214,225]
3 16 [170,0,53] 6 6 [198,129,139] 9 6 [255,206,218]
4 2 [116,90,96] 6 8 [211,122,134]
4 4 [131,83,92] 6 10 [224,114,129]

# 5R

1 2 [46,21,29] 4 4 [132,83,87] 6 8 [212,122,126]
1 4 [55,14,29] 4 6 [145,76,80] 6 10 [226,114,118]
1 6 [64,2,29] 4 8 [157,68,74] 6 12 [239,105,111]
1 8 [72,0,29] 4 10 [168,58,67] 6 14 [250,95,104]
1 10 [79,0,30] 4 12 [178,46,61] 6 16 [255,82,96]
2 2 [67,43,48] 4 14 [189,24,55] 6 18 [255,65,89]
2 4 [78,36,45] 4 16 [199,0,49] 7 2 [194,167,175]
2 6 [88,28,42] 4 18 [209,0,44] 7 4 [211,162,167]
2 8 [99,13,40] 5 2 [141,116,121] 7 6 [226,155,159]
2 10 [109,0,39] 5 4 [158,109,114] 7 8 [242,148,151]
2 12 [118,0,38] 5 6 [172,103,106] 7 10 [255,140,144]
2 14 [129,0,37] 5 8 [185,95,99] 7 12 [255,131,135]
3 2 [92,65,69] 5 10 [198,86,91] 7 14 [255,121,127]
3 4 [107,58,62] 5 12 [210,75,84] 8 2 [218,194,203]
3 6 [118,51,57] 5 14 [220,63,78] 8 4 [239,188,194]
3 8 [130,40,51] 5 16 [232,45,71] 8 6 [255,181,185]
3 10 [141,23,46] 5 18 [242,2,65] 8 8 [255,173,176]
3 12 [151,0,42] 5 20 [252,0,60] 8 10 [255,165,167]
3 14 [160,0,38] 6 2 [167,141,148] 9 2 [246,221,231]
3 16 [170,0,35] 6 4 [184,135,140] 9 4 [255,214,220]
4 2 [117,90,94] 6 6 [199,129,132] 9 6 [255,206,210]

# 7.5R

1 2 [46,21,27] 4 6 [145,77,74] 6 10 [227,115,104]
1 4 [56,14,25] 4 8 [157,69,65] 6 12 [239,107,93]
1 6 [65,2,23] 4 10 [168,60,56] 6 14 [250,97,82]
1 8 [73,0,23] 4 12 [178,49,46] 6 16 [255,86,69]
1 10 [80,0,23] 4 14 [188,32,36] 6 18 [255,73,56]
2 2 [67,43,46] 4 16 [197,0,26] 7 2 [195,167,173]
2 4 [79,37,41] 4 18 [206,0,14] 7 4 [212,162,162]
2 6 [89,29,36] 4 20 [216,0,0] 7 6 [227,156,152]
2 8 [99,16,31] 5 2 [142,116,119] 7 8 [243,148,140]
2 10 [109,0,27] 5 4 [158,109,109] 7 10 [255,141,130]
2 12 [119,0,23] 5 6 [172,103,99] 7 12 [255,133,117]
2 14 [128,0,21] 5 8 [186,96,89] 7 14 [255,124,105]
3 2 [92,65,67] 5 10 [198,87,79] 7 16 [255,113,92]
3 4 [106,59,58] 5 12 [210,77,68] 8 2 [219,194,201]
3 6 [118,51,50] 5 14 [220,66,58] 8 4 [240,188,189]
3 8 [129,42,42] 5 16 [230,51,46] 8 6 [255,181,177]
3 10 [139,28,33] 5 18 [239,29,34] 8 8 [255,174,164]
3 12 [150,0,25] 5 20 [248,0,21] 8 10 [255,166,153]
3 14 [159,0,18] 6 2 [168,141,145] 9 2 [247,221,229]
3 16 [168,0,9] 6 4 [185,136,136] 9 4 [255,214,214]
4 2 [117,90,92] 6 6 [199,129,126] 9 6 [255,207,201]
4 4 [132,83,83] 6 8 [213,123,116]

# 10.0R

1 2 [46,22,25] 4 6 [144,78,66] 6 14 [246,102,52]
1 4 [56,14,20] 4 8 [156,71,54] 6 16 [255,95,28]
1 6 [65,2,17] 4 10 [166,63,40] 6 18 [255,86,0]
1 8 [73,0,14] 4 12 [174,55,22] 7 2 [195,167,170]
1 10 [81,0,12] 4 14 [183,44,0] 7 4 [212,162,156]
2 2 [67,43,44] 4 16 [189,32,0] 7 6 [228,156,143]
2 4 [78,37,36] 5 2 [142,116,116] 7 8 [242,150,128]
2 6 [88,30,28] 5 4 [158,110,104] 7 10 [254,144,114]
2 8 [98,18,20] 5 6 [172,104,90] 7 12 [255,136,97]
2 10 [108,0,13] 5 8 [185,97,77] 7 14 [255,129,78]
2 12 [117,0,5] 5 10 [196,90,61] 7 16 [255,121,56]
2 14 [127,0,0] 5 12 [206,82,44] 8 2 [220,194,199]
3 2 [92,65,64] 5 14 [215,75,24] 8 4 [241,188,183]
